riftbound_id,set_code,set_name,collector_number,printed_number,name,rarity,type,supertype,domain,energy,might,power,keywords,tags,rules_text,flavour_text,artist,image_url,alternate_art,signature,overnumbered,tcgplayer_id,cardmarket_id,riftcodex_id,synced_at
opp-024-298,OPP,Riftbound Organized Play Promotional Cards,24,024/298,Void Seeker,Promo,Spell,,Fury,3,,1,,,[Action] (Play on your turn or in showdowns.)Deal 4 to a unit at a battlefield. Draw 1.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b64b63c6be58ff3c33c7fb3c2dcb168d64e287e-744x1039.png,False,False,False,662922,,69bc5bf1d308c64675ca89ec,2026-06-09T19:38:12.334020+00:00
opp-033-221,OPP,Riftbound Organized Play Promotional Cards,33,033/221,Doran's Shield,Promo,Gear,,Calm,1,,,,Equipment,[Equip] :rb_rune_calm: (:rb_rune_calm:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/49a24d4c6d770ed233c4a69bf8d87385bfc997d8-744x1039.png,False,False,False,680326,,69bc5bf3d308c64675ca8a11,2026-06-09T19:38:12.334020+00:00
opp-034-298,OPP,Riftbound Organized Play Promotional Cards,34,034/298,Tryndamere - Barbarian,Promo,Unit,Champion,Fury,7,8,2,,"Tryndamere,Freljord","When I conquer after an attack, if you assigned 5 or more excess damage to enemy units, you score 1 point.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/124c93495c927be1baea03fdacf6c7b283cf8b6c-744x1039.png,False,False,False,668441,,69bc5bf1d308c64675ca89ef,2026-06-09T19:38:12.334020+00:00
opp-037-221,OPP,Riftbound Organized Play Promotional Cards,37,037/221,Navori Scout,Promo,Unit,,Calm,4,4,,,"Yordle,Ionia",[Deflect] (Opponents must pay :rb_rune_rainbow: to choose me with a spell or ability.),,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/038625518f5b46f5217d300d9dc9fbf507c4ae09-744x1039.png,False,False,False,680311,,69bc5bf3d308c64675ca8a0e,2026-06-09T19:38:12.334020+00:00
opp-042b-298,OPP,Riftbound Organized Play Promotional Cards,42,042b/298,Calm Rune,Promo,Rune,Basic,Calm,,,,,,,,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0a0e8c3d16c2595e2f8efcc2b1466226539b506c-744x1039.png?accountingTag=RB,False,False,False,662902,,69bc5bf0d308c64675ca89da,2026-06-09T19:38:12.334020+00:00
opp-048-221,OPP,Riftbound Organized Play Promotional Cards,48,048/221,Stellacorn Herder,Promo,Unit,,Calm,4,3,,,Mount Targon,"When I move, draw 1.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/1e7960a35d45dd55e934260ea23307853aa5afd4-744x1039.png,False,False,False,680319,,69bc5bf3d308c64675ca8a0f,2026-06-09T19:38:12.334020+00:00
opp-052-298,OPP,Riftbound Organized Play Promotional Cards,52,052/298,Stalwart Poro,Promo,Unit,,Calm,2,2,,,Poro,[Shield] (+1 :rb_might: while I'm a defender.),,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c4a5d7178e783c3975749271b6df333a82a2328a-744x1039.png,False,False,False,662907,,69bc5bf0d308c64675ca89de,2026-06-09T19:38:12.334020+00:00
opp-055-298,OPP,Riftbound Organized Play Promotional Cards,55,055/298,Wielder of Water,Promo,Unit,,Calm,3,2,,,Ionia,"While I'm attacking or defending alone, I have +2 :rb_might:.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/5b38a7758705bd739caf07b5c0c49482a4a23015-744x1039.png,False,False,False,662919,,69bc5bf1d308c64675ca89ea,2026-06-09T19:38:12.334020+00:00
opp-058-298,OPP,Riftbound Organized Play Promotional Cards,58,058/298,Discipline,Promo,Spell,,Calm,2,,,,,"[Reaction] (Play any time, even before spells and abilities resolve.)Give a unit +2 :rb_might: this turn. Draw 1.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/8b9613970b505e3ad6abe2d51d091778314a7d48-744x1039.png,False,False,False,662921,,69bc5bf1d308c64675ca89eb,2026-06-09T19:38:12.334020+00:00
opp-064-221,OPP,Riftbound Organized Play Promotional Cards,64,064/221,Cloth Armor,Promo,Gear,,Mind,1,,,,Equipment,"[Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)[Equip] :rb_rune_mind: (:rb_rune_mind:: Attach this to a unit you control.)",,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/fe02bf01609ff2e6cc6fa8fbd578fd596ab5cb84-744x1039.png?accountingTag=RB,False,False,False,680343,,69bc5bf3d308c64675ca8a15,2026-06-09T19:38:12.334020+00:00
opp-067-298,OPP,Riftbound Organized Play Promotional Cards,67,067/298,Blitzcrank - Impassive,Promo,Unit,Champion,Calm,5,5,1,,"Mech,Blitzcrank,Zaun","[Tank] (I must be assigned combat damage first.)When you play me to a battlefield, you may move an enemy unit to here.When I hold, return me to my owner's hand.",,League Splash Team,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/654dcc4aef0a0b5a0c6e928d7aae397a52c3ab17-744x1039.png?accountingTag=RB,False,False,False,668450,,69bc5bf1d308c64675ca89f0,2026-06-09T19:38:12.334020+00:00
opp-067-221,OPP,Riftbound Organized Play Promotional Cards,67,067/221,Frostcoat Cub,Promo,Unit,,Mind,3,3,,,"Dog,Freljord","You may pay :rb_rune_mind: as an additional cost to play me.When you play me, if you paid the additional cost, give a unit -2 :rb_might: this turn.",,Caravan Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0b5f1f6ed65e070d2878b8aa21fd95e43688fc1d-744x1039.png,False,False,False,680334,,69bc5bf3d308c64675ca8a12,2026-06-09T19:38:12.334020+00:00
opp-076-221,OPP,Riftbound Organized Play Promotional Cards,76,076/221,Production Surge,Promo,Spell,,Mind,4,,1,,,This costs :rb_energy_2: less if you control a Mech.Play a 3 :rb_might: Mech unit token to your base.Draw 1.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/78783854dd9372138e599affbe96a269d8908c29-744x1039.png,False,False,False,680336,,69bc5bf3d308c64675ca8a13,2026-06-09T19:38:12.334020+00:00
opp-078-298,OPP,Riftbound Organized Play Promotional Cards,78,078/298,Lee Sin - Ascetic,Promo,Unit,Champion,Calm,5,5,1,,"Lee Sin,Ionia",[Shield] (+1 :rb_might: while I'm a defender.):rb_exhaust:: Buff me. (I get a +1 :rb_might: buff.)I can have any number of buffs.,,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/70734e8833bfbbdb2736407c449f418553e3cf7c-744x1039.png,False,False,False,662884,,69bc5befd308c64675ca89c9,2026-06-09T19:38:12.334020+00:00
opp-083-298,OPP,Riftbound Organized Play Promotional Cards,83,083/298,Consult the Past,Promo,Spell,,Mind,4,,,,,"[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.)[Reaction] (Play any time, even before spells and abilities resolve.)Draw 2.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/198d950d3933972273ec714e9264cbd563ea6920-744x1039.png?accountingTag=RB,False,False,False,662911,,69bc5bf0d308c64675ca89e2,2026-06-09T19:38:12.334020+00:00
opp-086-221,OPP,Riftbound Organized Play Promotional Cards,86,086/221,World Atlas,Promo,Gear,,Mind,3,,,,Equipment,[Equip] :rb_rune_mind: (:rb_rune_mind:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/7b8d96e128c19c5ff368119a60759cffa644e942-744x1039.png,False,False,False,685265,,69bff35b58d0fbca04e93745,2026-06-09T19:38:12.334020+00:00
opp-089b-298,OPP,Riftbound Organized Play Promotional Cards,89,089b/298,Mind Rune,Promo,Rune,Basic,Mind,,,,,,,,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f99aa4874baaebd2e81798c8a3aa01c5900f6d30-744x1039.png,False,False,False,662899,,69bc5bf0d308c64675ca89d7,2026-06-09T19:38:12.334020+00:00
opp-092-298,OPP,Riftbound Organized Play Promotional Cards,92,092/298,Riptide Rex,Promo,Unit,,Mind,6,6,2,,"Pirate,Bilgewater","When you play me, deal 6 to an enemy unit at a battlefield.",,MAR Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/e09bf1fb6d72da31d415ea31ae7413fe7f02d650-744x1039.png,False,False,False,662916,,69bc5bf1d308c64675ca89e7,2026-06-09T19:38:12.334020+00:00
opp-095-221,OPP,Riftbound Organized Play Promotional Cards,95,095/221,Doran's Blade,Promo,Gear,,Body,2,,,,Equipment,[Equip] :rb_rune_body: (:rb_rune_body:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/53fc0c307c83871c9755a496764ef7d6aa11f510-744x1039.png,False,False,False,680380,,69bc5bf3d308c64675ca8a1a,2026-06-09T19:38:12.334020+00:00
opp-098-221,OPP,Riftbound Organized Play Promotional Cards,98,098/221,Sea Monkey,Promo,Unit,,Body,2,2,,,"Pirate,Bilgewater","You may pay :rb_energy_1: as an additional cost to play me.When you play me, if you paid the additional cost, buff me. (Give me a +1 :rb_might: buff if I don't already have one.)",,Bubble Cat Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0ef7f1de2bc7845f5e3dace1634c6c58a8765452-744x1039.png,False,False,False,680354,,69bc5bf3d308c64675ca8a16,2026-06-09T19:38:12.334020+00:00
opp-101-221,OPP,Riftbound Organized Play Promotional Cards,101,101/221,Fae Dragon,Promo,Unit,,Body,7,7,1,,"Fae,Dragon,Bandle City","When you play me, buff up to four friendly units. (Give each a +1 :rb_might: buff if it doesn't have one.)When you spend a buff, play a Gold gear token exhausted.",,Bubble Cat Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/76aeda6bf59acee92b512f4a0272892673cfce90-744x1039.png,False,False,False,680367,,69bc5bf3d308c64675ca8a18,2026-06-09T19:38:12.334020+00:00
opp-103-298,OPP,Riftbound Organized Play Promotional Cards,103,103/298,Ravenbloom Student,Promo,Unit,,Mind,2,2,,,Noxus,"When you play a spell, give me +1 :rb_might: this turn.",,Polar Engine Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/b98b1ff793b6eb263957258742cc83d50fda6537-744x1039.png,False,False,False,662923,,69bc5bf1d308c64675ca89ed,2026-06-09T19:38:12.334020+00:00
opp-116-221,OPP,Riftbound Organized Play Promotional Cards,116,116/221,Yone - Blademaster,Promo,Unit,Champion,Body,5,5,1,,"Yone,Ionia,Demon","[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for :rb_rune_rainbow: less, even if it's already attached.)When I conquer a battlefield that was uncontrolled, deal damage equal to my Might to an enemy unit in a base.",,蛋费鸡丁,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/0e8efd9af74b65170e04eed45844e6d7e2c4d70b-744x1039.png,False,False,False,678194,,69bc5bf2d308c64675ca8a01,2026-06-09T19:38:12.334020+00:00
opp-118a-221,OPP,Riftbound Organized Play Promotional Cards,118,118a/221,Boneshiver,Promo,Gear,,Body,3,,,,Equipment,[Equip] :rb_energy_1::rb_rune_body: (:rb_energy_1::rb_rune_body:: Attach this to a unit you control.),,Envar Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c3e4d8c3f3975a7429428ac90e5ebcffa1f8e5a9-744x1039.png?accountingTag=RB,False,False,False,682465,,69bc5bf4d308c64675ca8a24,2026-06-09T19:38:12.334020+00:00
opp-124-221,OPP,Riftbound Organized Play Promotional Cards,124,124/221,Doran's Ring,Promo,Gear,,Chaos,1,,,,Equipment,[Equip] :rb_rune_chaos: (:rb_rune_chaos:: Attach this to a unit you control.),,黯荧岛Dark Glow,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/054df5a11967b768430a2f763e1b5d4dbbac3b50-744x1039.png,False,False,False,680423,,69bc5bf4d308c64675ca8a1e,2026-06-09T19:38:12.334020+00:00
opp-126b-298,OPP,Riftbound Organized Play Promotional Cards,126,126b/298,Body Rune,Promo,Rune,Basic,Body,,,,,,,,Greg Ghielmetti & Leah Chen,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/3b3c3c07626d6180457c849047e0228dc0d19539-744x1039.png?accountingTag=RB,False,False,False,662903,,69bc5bf0d308c64675ca89db,2026-06-09T19:38:12.334020+00:00
opp-128-298,OPP,Riftbound Organized Play Promotional Cards,128,128/298,Challenge,Promo,Spell,,Body,2,,1,,,[Action] (Play on your turn or in showdowns.)Choose a friendly unit and an enemy unit. They deal damage equal to their Mights to each other.,,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f5c1aeaee373c481b7ea2a638cd6f9e815ac105d-744x1039.png?accountingTag=RB,False,False,False,662910,,69bc5bf0d308c64675ca89e1,2026-06-09T19:38:12.334020+00:00
opp-130-221,OPP,Riftbound Organized Play Promotional Cards,130,130/221,Treasure Hunter,Promo,Unit,,Chaos,2,1,,,Shurima,"When I move, play a Gold gear token exhausted.",,Grafit Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/c4e1bf257379b4612a1c58f0480480d9b698196c-744x1039.png,False,False,False,680406,,69bc5bf3d308c64675ca8a1b,2026-06-09T19:38:12.334020+00:00
opp-135-298,OPP,Riftbound Organized Play Promotional Cards,135,135/298,Pakaa Cub,Promo,Unit,,Body,3,3,,,"Cat,Ixtal",[Hidden] (Hide now for :rb_rune_rainbow: to react with later for :rb_energy_0:.),,Bubble Cat Studio,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/156a66d7d44165367cc5a470fb35c86f337f9429-744x1039.png,False,False,False,662913,,69bc5bf0d308c64675ca89e4,2026-06-09T19:38:12.334020+00:00
opp-137-298,OPP,Riftbound Organized Play Promotional Cards,137,137/298,Stormclaw Ursine,Promo,Unit,,Body,7,6,,,Freljord,"[Tank] (I must be assigned combat damage first.)When you play me, channel 1 rune exhausted.",,Kudos Productions,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/137e5a1faec1c8b26a5a0abc7802f6461cc725c8-744x1039.png,False,False,False,662915,,69bc5bf1d308c64675ca89e6,2026-06-09T19:38:12.334020+00:00
opp-137-221,OPP,Riftbound Organized Play Promotional Cards,137,137/221,Harpoon Squad,Promo,Unit,,Chaos,4,4,,,"Pirate,Bilgewater","When I move from a battlefield, give me +2 :rb_might: this turn.",,Six More Vodka,https://cmsassets.rgpub.io/sanity/images/dsfx7636/game_data_live/f50d32a202375bf09781ae578db107abe84937e0-744x1039.png,False,False,False,680411,,69bc5bf3d308c64675ca8a1c,2026-06-09T19:38:12.334020+00:00
